dropout -> softmax
Resnet18, batch size : 64, trained_layers : 10, n_outputs : 30
train :  Epoch 0 ,accuracy : 0.1304, time 15m 57s
train :  Epoch 1 ,accuracy : 0.1913, time 8m 30s
train :  Epoch 2 ,accuracy : 0.2118, time 4m 40s
train :  Epoch 3 ,accuracy : 0.2524, time 5m 42s
train :  Epoch 4 ,accuracy : 0.2608, time 4m 41s
train :  Epoch 5 ,accuracy : 0.2474, time 4m 39s
train :  Epoch 6 ,accuracy : 0.2529, time 4m 41s
train :  Epoch 7 ,accuracy : 0.2853, time 4m 41s
train :  Epoch 8 ,accuracy : 0.2980, time 4m 41s
train :  Epoch 9 ,accuracy : 0.2801, time 4m 41s
train :  Epoch 10 ,accuracy : 0.2849, time 4m 41s
train :  Epoch 11 ,accuracy : 0.3129, time 4m 41s
train :  Epoch 12 ,accuracy : 0.3260, time 4m 41s
train :  Epoch 13 ,accuracy : 0.3001, time 4m 41s
train :  Epoch 14 ,accuracy : 0.3006, time 4m 41s
train :  Epoch 15 ,accuracy : 0.3420, time 4m 34s
train :  Epoch 16 ,accuracy : 0.3535, time 4m 35s
train :  Epoch 17 ,accuracy : 0.3278, time 4m 39s
train :  Epoch 18 ,accuracy : 0.3255, time 4m 38s
train :  Epoch 19 ,accuracy : 0.3647, time 4m 38s
train :  Epoch 20 ,accuracy : 0.3833, time 4m 40s
train :  Epoch 21 ,accuracy : 0.3475, time 4m 39s
train :  Epoch 22 ,accuracy : 0.3466, time 4m 39s
train :  Epoch 23 ,accuracy : 0.3939, time 4m 39s
train :  Epoch 24 ,accuracy : 0.4132, time 4m 41s
val :  Epoch 0 ,accuracy : 0.2237, time 1m 24s
val :  Epoch 1 ,accuracy : 0.2165, time 0m 24s
val :  Epoch 2 ,accuracy : 0.2595, time 0m 25s
val :  Epoch 3 ,accuracy : 0.2881, time 1m 29s
val :  Epoch 4 ,accuracy : 0.2642, time 0m 23s
val :  Epoch 5 ,accuracy : 0.2530, time 0m 24s
val :  Epoch 6 ,accuracy : 0.2807, time 0m 24s
val :  Epoch 7 ,accuracy : 0.2991, time 0m 23s
val :  Epoch 8 ,accuracy : 0.2867, time 0m 23s
val :  Epoch 9 ,accuracy : 0.2682, time 0m 23s
val :  Epoch 10 ,accuracy : 0.2898, time 0m 23s
val :  Epoch 11 ,accuracy : 0.3009, time 0m 23s
val :  Epoch 12 ,accuracy : 0.2882, time 0m 23s
val :  Epoch 13 ,accuracy : 0.2761, time 0m 24s
val :  Epoch 14 ,accuracy : 0.2930, time 0m 23s
val :  Epoch 15 ,accuracy : 0.2970, time 0m 22s
